budget,id,imdb_id,language,popularity,release_date,revenue,runtime,keyword,Day,Year,Fantasy,Documentary,Science Fiction,Music,Western,TV Movie,Mystery,Animation,Crime,War,Comedy,Adventure,Foreign,Action,Romance,Horror,Drama,Thriller,History,Family,is_holiday,is_near_holiday,Canada,United Kingdom,United States of America,Other_Country,Australia,India,Germany,France,Italy,cast,crew
15000000,11448,tt0113819,1.0,15.899134,1995-09-13,6700000,95.0,5,2,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,23
3500000,10634,tt0113118,1.0,14.56965,1995-04-26,28215918,91.0,4,2,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4
19000000,755,tt0116367,1.0,15.339153,1996-01-19,25836616,108.0,16,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,59
50000000,11859,tt0113010,1.0,5.912223,1995-11-03,11534477,91.0,29,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8
15000000,36929,tt0115676,1.0,2.936443,1996-01-26,2042530,90.0,1,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3
20000000,9102,tt0114367,1.0,12.758848,1995-09-08,5781885,108.0,2,4,1995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6,8
8000000,400,tt0114660,1.0,4.486179,1995-12-01,529766,116.0,18,4,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8
38000000,10534,tt0118158,1.0,9.568604,1996-02-02,10300000,129.0,7,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7
8169363,2086,tt0113972,1.0,6.848591,1995-11-22,8175346,90.0,3,2,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7
47000000,9095,tt0117002,1.0,12.866139,1996-02-23,12379402,104.0,3,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9
14000000,12158,tt0114825,1.0,9.071127,1995-10-26,19800000,100.0,1,3,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8
50000000,9208,tt0115759,1.0,14.957626,1996-02-09,150270147,108.0,13,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,14
7000000,13685,tt0115734,1.0,6.904831,1996-02-21,560069,91.0,8,2,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12
12000000,9614,tt0116483,1.0,9.592265,1996-02-16,41205099,92.0,4,4,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9
24000000,688,tt0112579,1.0,5.951077,1995-05-28,182016617,135.0,13,6,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10
72000000,197,tt0112573,1.0,20.755149,1995-05-24,210000000,177.0,4,2,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,44
